fo time ls_time n_ls_moves
30104 1624915 52 2139
30166 1621215 55 2026
30229 1625661 55 2233
30290 1625884 55 2261
30360 1625677 63 2227
30417 1623377 51 2040
30474 1618970 51 2034
30535 1620331 55 1999
30602 1621932 59 2223
30663 1624566 54 2185
30721 1621466 51 2085
30784 1622187 56 2086
30846 1624366 56 2178
30912 1622618 60 2320
30976 1619870 57 2033
31034 1622154 52 2030
31094 1621175 53 2086
31164 1622320 64 2118
31228 1624666 58 2136
31290 1619055 56 2146
31355 1621112 58 2117
31420 1625218 58 2206
31476 1621578 49 2051
31535 1621522 52 2016
31601 1624238 59 2137
31663 1624035 56 2148
31721 1622139 51 2075
31786 1623985 59 2104
31847 1624545 54 2154
31908 1623568 54 2170
31974 1623617 59 2174
32034 1625576 54 2080
32094 1622752 54 2178
32161 1622806 61 2051
32225 1625442 54 2129
32280 1618956 49 2015
32340 1624695 54 2174
32417 1627707 70 2241
32482 1624107 56 2183
32538 1621296 49 1994
32606 1627584 61 2209
32669 1622291 55 2077
32730 1620377 55 2077
32792 1620752 55 2032
32850 1621999 52 2033
32909 1627366 53 2157
32972 1620266 56 2089
33034 1626624 54 2092
33095 1627854 54 2115
33154 1622287 53 2138
33219 1624383 57 2092
33277 1624360 52 2095
33334 1619762 51 2102
33402 1621505 61 2138
33463 1623619 55 2080
33523 1623045 53 2153
33585 1623737 56 2078
33645 1622256 52 2101
33710 1628501 59 2305
33775 1620785 59 2223
33843 1623718 60 2108
33900 1621801 51 2039
33958 1620817 51 2027
34025 1622165 60 2086
34082 1622435 51 2125
34140 1622412 51 2016
34201 1620111 55 1982
34262 1623618 54 2136
34320 1621290 51 2092
34380 1621653 54 2119
34451 1622842 64 2130
34516 1622614 57 2114
34575 1622856 53 2232
34642 1621719 59 2139
34701 1620885 53 2059
34759 1621978 51 2080
34821 1622561 56 1997
34880 1619641 52 2034
34938 1622587 52 2073
34996 1620780 51 2078
35055 1621186 52 1965
35119 1623910 57 2248
35179 1622405 54 2163
35255 1626060 69 2250
35319 1622659 57 2154
35376 1623914 51 2042
35440 1622065 57 2021
35498 1620839 52 2025
35557 1623437 52 2081
35628 1623965 64 2197
35684 1624736 49 2045
35742 1622742 52 2004
35802 1620482 53 2048
35871 1625415 62 2179
35937 1625077 59 2199
35993 1623816 49 2036
36057 1621208 57 2081
36124 1621637 61 2196
36185 1623585 55 2139
36256 1623926 65 2209
36311 1621942 49 2022
36371 1622159 54 2100
36440 1623766 62 2149
36496 1624316 49 2047
36555 1623405 52 2030
36622 1623257 60 2191
36687 1622143 57 2181
36746 1623182 52 2156
36804 1621106 52 2117
36872 1625247 62 2176
36931 1620312 52 2136
36997 1625354 60 2276
37062 1626836 58 2106
37121 1622056 53 2024
37182 1624740 54 2168
37247 1622147 59 1989
37308 1622615 54 2181
37369 1626813 55 2238
37433 1624202 57 2132
37495 1624558 55 2095
37554 1621817 53 2054
37615 1624510 54 2126
37682 1623891 61 2143
37740 1622820 52 2039
37796 1620697 49 1960
37867 1623979 64 2122
37932 1625087 59 2225
37989 1618520 51 1962
38052 1619426 57 2093
38116 1619927 55 2083
38176 1625442 54 2130
38240 1625948 58 2227
38306 1622185 60 2172
38362 1624621 50 2082
38423 1623656 54 2112
38492 1627913 62 2200
38552 1624929 54 2131
38613 1624004 54 2090
38688 1623414 68 2233
38751 1623804 57 2085
38809 1622082 51 2090
38877 1623890 62 2152
38936 1624087 53 2085
38996 1620574 53 2128
39057 1621298 55 2150
39133 1628923 68 2253
39194 1628421 55 2229
39254 1620214 53 2043
39322 1624095 61 2145
39389 1621809 59 2210
39446 1624135 51 2076
39509 1624098 56 2112
39576 1628023 60 2345
39631 1618262 49 2004
39691 1618606 53 1958
39753 1623901 56 2220
39816 1623478 56 2184
39887 1620799 65 2116
