fo time ls_time n_ls_moves
80240 1603927 203 2180
80437 1604153 190 2241
80628 1602415 184 2057
80804 1605070 169 2138
81090 1607866 280 2172
81305 1602895 208 2151
81486 1603572 174 2028
81647 1604279 154 2133
81809 1603975 155 2067
82006 1605241 191 2135
82227 1604710 214 2216
82447 1605294 213 2203
82647 1606728 194 2170
82826 1606063 172 2067
83009 1604404 176 2149
83209 1604690 193 2158
83338 1600246 123 2049
83505 1602538 160 2071
83728 1604682 217 2114
83871 1601620 137 2073
84033 1602891 155 2166
84239 1605465 199 2144
84372 1605775 126 2096
84573 1606575 194 2105
84744 1601571 164 2121
84975 1608555 225 2225
85144 1607635 163 2142
