fo time ls_time n_ls_moves
5879 210751 9 1052
5889 211265 7 1043
5899 211000 7 1035
5909 212459 7 1042
5920 212174 8 1075
5930 211713 8 1124
5941 211635 8 1041
5951 212895 8 1074
5961 212084 8 1074
5972 211983 8 1106
5983 210962 8 1101
5993 212107 8 1065
6004 211741 9 1057
6016 212678 8 1061
6031 211124 12 1030
6043 213010 8 1060
6053 211338 7 1017
6063 211241 8 1061
6073 211831 8 1051
6085 212032 9 1087
6095 212095 8 1066
6105 212075 7 1018
6116 211531 8 1078
6126 212366 8 1072
6137 211017 8 1083
6147 211563 8 1070
6158 213035 8 1116
6168 212701 8 1065
6179 212198 8 1080
6189 212026 7 1041
6199 211632 7 1055
6211 212198 10 1060
6221 211953 7 1032
6237 210872 12 1063
6248 212300 8 1107
6258 211725 8 1055
6269 211394 8 1109
6279 211156 8 1066
6289 212716 8 1084
6300 212898 8 1094
6310 211540 8 1060
6320 211710 8 1067
6331 211489 8 1100
6342 213374 8 1106
6352 210355 7 1027
6362 212826 8 1085
6372 211958 8 1053
6383 211955 8 1061
6393 211785 8 1034
6403 212253 8 1073
6415 211444 9 1034
6426 212163 9 1080
6441 211244 10 1063
6451 211902 7 1054
6463 210600 9 1042
6474 211783 8 1087
6484 211778 8 1071
6494 210860 7 1044
6504 212129 8 1069
6515 211253 8 1111
6525 212257 8 1080
6535 210399 7 1029
6546 211935 8 1096
6557 211343 8 1058
6568 211249 8 1094
6578 210983 8 1079
6589 211415 8 1039
6600 212099 8 1077
6611 211364 8 1085
6623 212840 9 1075
6639 211949 13 1106
6652 212230 9 1075
6663 212222 8 1068
6673 211489 8 1025
6684 211582 8 1058
6696 211079 9 1082
6706 211641 8 1026
6716 211599 7 1046
6726 212410 8 1076
6737 211825 8 1100
6747 213153 8 1091
6758 211681 8 1089
6768 212180 8 1083
6779 212389 8 1076
6790 211857 8 1118
6800 212181 8 1050
6811 211498 8 1107
6822 211467 9 1065
6834 211731 9 1031
6847 212705 9 1063
6858 212463 8 1091
6868 212305 8 1067
6879 212026 8 1071
6890 211733 8 1113
6900 212380 8 1057
6911 211365 8 1064
6922 211370 8 1069
6932 211628 8 1086
6943 210599 8 1045
6953 211811 8 1070
6964 212528 8 1038
6974 212100 8 1107
6985 211520 8 1055
6995 212027 8 1061
7006 211399 8 1076
7016 212099 8 1100
7028 212389 9 1077
7043 211206 12 1078
7056 211249 8 1038
7066 212069 8 1081
7077 211315 8 1110
7087 211905 8 1086
7099 212290 9 1089
7109 210541 8 1050
7121 210878 8 1092
7131 211398 7 1037
7141 212693 8 1080
7152 211510 8 1047
7162 210996 8 1034
7173 212238 8 1096
7184 212010 8 1067
7194 210674 8 1054
7205 210655 8 1086
7214 211260 7 1003
7226 211653 9 1040
7236 210964 7 1040
7252 212197 11 1125
7262 211993 8 1069
7273 212462 8 1077
7283 212182 8 1034
7293 211903 8 1103
7305 211060 9 1118
7316 210957 8 1118
7328 212658 9 1121
7338 212356 8 1095
7348 212031 7 1069
7358 211316 8 1087
7369 212238 8 1098
7379 211472 8 1061
7389 212139 8 1079
7400 212601 8 1070
