!Experiment Random Multi Restart #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
1000 5 2 bs_array first_move 0.026000 1 859510 859510.000000 0.000000 1777.000000 0.000000 0.000000 0.000000 0.000000
1000 5 2 tree first_move 0.120000 1 859834 859834.000000 0.000000 1800.000000 0.000000 0.000000 0.000000 0.000000
1000 5 2 basic first_move 0.196000 1 860539 860539.000000 0.000000 1792.000000 0.000000 0.000000 0.000000 0.000000
1000 5 3 bs_array first_move 0.024000 1 863653 863653.000000 0.000000 1832.000000 0.000000 0.000000 0.000000 0.000000
1000 5 3 tree first_move 0.121000 1 866347 866347.000000 0.000000 1931.000000 0.000000 0.000000 0.000000 0.000000
1000 5 3 basic first_move 0.296000 1 863927 863927.000000 0.000000 1794.000000 0.000000 0.000000 0.000000 0.000000
1000 5 4 bs_array first_move 0.059000 1 865311 865311.000000 0.000000 1747.000000 0.000000 0.000000 0.000000 0.000000
1000 5 4 tree first_move 0.128000 1 861031 861031.000000 0.000000 1734.000000 0.000000 0.000000 0.000000 0.000000
1000 5 4 basic first_move 0.241000 1 863242 863242.000000 0.000000 1818.000000 0.000000 0.000000 0.000000 0.000000
1000 5 5 bs_array first_move 0.020000 1 856406 856406.000000 0.000000 1796.000000 0.000000 0.000000 0.000000 0.000000
1000 5 5 tree first_move 0.105000 1 861139 861139.000000 0.000000 1813.000000 0.000000 0.000000 0.000000 0.000000
1000 5 5 basic first_move 0.284000 1 858856 858856.000000 0.000000 1744.000000 0.000000 0.000000 0.000000 0.000000
1000 10 1 bs_array first_move 0.058000 1 1601048 1601048.000000 0.000000 2104.000000 0.000000 0.000000 0.000000 0.000000
1000 10 1 tree first_move 0.350000 1 1604942 1604942.000000 0.000000 2092.000000 0.000000 0.000000 0.000000 0.000000
1000 10 1 basic first_move 0.223000 1 1600815 1600815.000000 0.000000 1972.000000 0.000000 0.000000 0.000000 0.000000
1000 10 2 bs_array first_move 0.063000 1 1623923 1623923.000000 0.000000 2172.000000 0.000000 0.000000 0.000000 0.000000
1000 10 2 tree first_move 0.414000 1 1627387 1627387.000000 0.000000 2170.000000 0.000000 0.000000 0.000000 0.000000
1000 10 2 basic first_move 0.339000 1 1623724 1623724.000000 0.000000 2072.000000 0.000000 0.000000 0.000000 0.000000
1000 10 3 bs_array first_move 0.076000 1 1621610 1621610.000000 0.000000 2117.000000 0.000000 0.000000 0.000000 0.000000
1000 10 3 tree first_move 0.440000 1 1623099 1623099.000000 0.000000 2103.000000 0.000000 0.000000 0.000000 0.000000
1000 10 3 basic first_move 0.288000 1 1623589 1623589.000000 0.000000 2166.000000 0.000000 0.000000 0.000000 0.000000
1000 10 4 bs_array first_move 0.052000 1 1617446 1617446.000000 0.000000 2016.000000 0.000000 0.000000 0.000000 0.000000
1000 10 4 tree first_move 0.389000 1 1620935 1620935.000000 0.000000 2214.000000 0.000000 0.000000 0.000000 0.000000
