!Experiment Random Multi Start
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd mean2_round_time
1000 50 2 bs_array best_move 44.470000 10 8070039 8063948.900000 3881.244604 1687.800000 61.530155 2.000000
1000 50 2 bs_array first_move 10.746000 10 8078837 8070618.300000 5841.815643 3020.200000 132.838850 0.000000
1000 50 2 tree best_move 33.030000 10 8074761 8068109.200000 3356.900171 1710.600000 75.892292 1.000000
1000 50 2 tree first_move 53.973000 10 8075726 8066740.800000 5631.755762 2954.000000 147.497797 1.000000
1000 50 2 basic first_move 3.725000 10 8080999 8070713.700000 4745.545870 3068.300000 121.307090 0.000000
1000 50 3 bs_array best_move 44.497000 10 8067062 8061548.800000 3517.814487 1693.100000 84.469462 2.000000
1000 50 3 bs_array first_move 10.608000 10 8072643 8066575.300000 5489.712653 3045.500000 75.498675 0.000000
1000 50 3 tree best_move 33.323000 10 8076276 8065658.700000 5679.497443 1736.300000 96.581624 1.000000
1000 50 3 tree first_move 55.956000 10 8074852 8066671.100000 3952.693650 3016.400000 153.989091 1.000000
1000 50 3 basic first_move 5.536000 10 8072283 8066187.500000 3757.552189 2987.900000 114.823734 0.000000
1000 50 4 bs_array best_move 45.304000 10 8075450 8068902.900000 5440.818991 1695.300000 64.513642 2.000000
1000 50 4 bs_array first_move 10.690000 10 8076165 8067588.900000 4543.595941 2994.100000 61.737266 0.000000
1000 50 4 tree best_move 32.276000 10 8074094 8066117.500000 5995.348735 1671.300000 126.970902 1.000000
1000 50 4 tree first_move 53.884000 10 8071778 8067663.100000 2456.411305 2937.900000 91.617084 1.000000
1000 50 4 basic first_move 3.073000 10 8072101 8068719.800000 2541.283605 2963.800000 85.789044 0.000000
1000 50 5 bs_array best_move 45.475000 10 8070474 8060576.300000 6005.232786 1679.100000 71.367289 2.000000
1000 50 5 bs_array first_move 10.969000 10 8079233 8067228.200000 6257.360159 2992.800000 125.731301 0.000000
1000 50 5 tree best_move 33.069000 10 8068985 8063332.400000 4457.570464 1682.200000 42.506000 1.000000
1000 50 5 tree first_move 56.616000 10 8073412 8066064.400000 4096.804442 2994.200000 124.578329 1.000000
1000 50 5 basic first_move 3.572000 10 8074079 8067256.400000 5716.597627 3046.600000 95.491570 0.000000
1000 100 1 bs_array best_move 101.837000 10 25762473 25757059.400000 3352.496085 1815.500000 92.600486 5.000000
1000 100 1 bs_array first_move 38.269000 10 25765521 25760222.200000 3768.160111 3464.400000 193.792260 0.000000
1000 100 1 tree best_move 84.874000 10 25759236 25755600.200000 2924.873331 1847.400000 99.286656 3.000000
1000 100 1 tree first_move 146.820000 10 25766253 25759363.500000 5585.454726 3402.100000 122.443824 3.000000
1000 100 1 basic first_move 4.949000 10 25766812 25761097.500000 3869.565043 3497.100000 147.617377 0.000000
1000 100 2 bs_array best_move 103.758000 10 25764864 25759956.900000 4033.822086 1791.200000 83.348425 5.000000
1000 100 2 bs_array first_move 37.997000 10 25766915 25759595.400000 4502.119667 3362.500000 152.046868 0.000000
1000 100 2 tree best_move 83.010000 10 25774864 25759643.200000 5752.198884 1794.400000 79.073637 3.200000
1000 100 2 tree first_move 153.839000 10 25769169 25759110.900000 5869.782226 3380.500000 137.437440 3.100000
1000 100 2 basic first_move 4.191000 10 25765917 25758852.400000 4416.935434 3372.700000 149.782542 0.000000
1000 100 3 bs_array best_move 102.013000 10 25799377 25793223.300000 3603.828797 1777.300000 56.105347 5.000000
1000 100 3 bs_array first_move 38.389000 10 25800585 25793655.900000 3169.503510 3420.400000 142.870011 0.000000
1000 100 3 tree best_move 82.071000 10 25798744 25790425.400000 4234.391913 1745.600000 73.931319 3.400000
1000 100 3 tree first_move 151.026000 10 25801647 25794970.700000 3394.802406 3396.900000 106.695314 3.000000
1000 100 3 basic first_move 4.174000 10 25798897 25794202.000000 2514.912598 3349.100000 165.930980 0.000000
1000 100 4 bs_array best_move 106.366000 10 25813259 25807599.400000 4216.648551 1850.300000 79.280578 5.000000
1000 100 4 bs_array first_move 37.687000 10 25817146 25808559.300000 5339.243486 3448.100000 102.779813 0.000000
1000 100 4 tree best_move 86.009000 10 25818041 25808447.100000 4397.029722 1855.200000 96.361611 3.200000
1000 100 4 tree first_move 153.490000 10 25814973 25806364.900000 5387.687781 3473.500000 129.198491 3.000000
1000 100 4 basic first_move 4.389000 10 25818191 25807161.000000 5176.598594 3461.100000 113.046406 0.000000
1000 100 5 bs_array best_move 101.792000 10 25768359 25761709.700000 4246.975733 1808.300000 95.111566 5.000000
1000 100 5 bs_array first_move 38.095000 10 25775649 25765098.100000 4424.271155 3423.500000 171.794790 0.000000
1000 100 5 tree best_move 88.068000 10 25769463 25762209.300000 4416.695852 1805.300000 89.526588 3.800000
1000 100 5 tree first_move 153.475000 10 25768931 25763856.300000 5062.669651 3428.500000 213.864092 3.100000
1000 100 5 basic first_move 4.731000 10 25772379 25763495.300000 5450.478660 3459.200000 203.227360 0.000000
